fips,state,county,actual_cost_per_capita,baseline_pred,pbm_formulary,pbm_cost,pbm_util,pbm_triple,sdoh_mh,sdoh_pc,sdoh_smoking,sdoh_obesity,sdoh_integrated,integrated_pbm_sdoh,pbm_formulary_pct_change,pbm_cost_pct_change,pbm_util_pct_change,pbm_triple_pct_change,sdoh_mh_pct_change,sdoh_pc_pct_change,sdoh_smoking_pct_change,sdoh_obesity_pct_change,sdoh_integrated_pct_change,integrated_pbm_sdoh_pct_change,year,predicted_savings_integrated_$
49009,Utah,Daggett,4431.0274340599435,3983.4812794449367,4003.619209150017,3960.44072130537,3983.235051718312,3980.3324232838268,3983.4812794449367,3983.4812794449367,3983.4812794449367,3860.301278127472,3860.301278127472,3857.152421966362,0.5055359443759289,-0.578402571099246,-0.00618121962553369,-0.079047846348828,0.0,0.0,0.0,-3.0922701194325386,-3.0922701194325386,-3.1713179657813666,2023,126.32885747857472
48033,Texas,Borden,2528.3703221098467,2487.911401698906,2502.170409813424,2415.6472380431715,2483.4120622439177,2424.4283147707974,2487.911401698906,2487.911401698906,2467.9287667307735,2482.3444895923712,2462.3618546242387,2398.87876769613,0.5731316679838816,-2.9046116194647436,-0.18084805801026083,-2.5516618833274474,0.0,0.0,-0.8031891712255944,-0.2237584546914876,-1.0269476259170822,-3.57860950924453,2023,89.03263400277592
31015,Nebraska,Boyd,2339.761727453167,2400.900656341269,2323.9700765012603,2301.5062104143994,2281.062309796923,2109.6048548395383,2400.900656341269,2386.569362935464,2341.3363435976094,2402.265304889304,2328.369698739839,2022.864778868002,-3.204238361000874,-4.139881659174383,-4.991391302585914,-12.132771955072734,0.0,-0.5969132195433837,-2.480915342596045,0.05683902598929187,-3.0209895361501555,-15.745585993939274,2023,378.03587747326696
30033,Montana,Garfield,1850.9882762233708,1843.8374400461698,1846.407080509312,1775.791930514922,1768.957399248547,1702.2297350972515,1838.1069255191835,1843.8374400461698,1824.3466084844986,1856.026995848438,1830.8056497597802,1690.780355617268,0.13936372086455767,-3.6904288877843854,-4.061097750338976,-7.680053668146172,-0.3107928281813625,0.0,-1.057079715291127,0.6610970976900725,-0.7067754457824293,-8.30100751317151,2023,153.05708442890182
15005,Hawaii,Kalawao,985.6079998817272,1226.248056150843,1339.8988371886976,1188.5992560842678,1226.248056150843,1302.2500371221224,1226.248056150843,1226.248056150843,1214.9718948138916,1225.026353869451,1213.750192532499,1293.9008404108563,9.26817216694321,-3.0702434044832385,0.0,6.197928762459972,0.0,0.0,-0.9195660927159356,-0.09962929402937565,-1.0191953867453483,5.517055372334158,2023,-67.65278426001328
