state,baseline_pred,pbm_triple,sdoh_integrated,integrated_pbm_sdoh,savings_pbm_triple,savings_sdoh_integrated,savings_integrated_pbm_sdoh
Alabama,72.81812458024717,67.16870435700295,66.32006038885785,61.786123520719194,7.758261086521716,8.92369067295644,15.15007578555593
Alaska,4.835228453514628,4.758569343876993,6.249916064521692,6.091485616247063,1.585428907333495,-29.25792699575045,-25.981340381534334
Arizona,15.66634193884012,15.379395283119539,18.255088523931907,17.653002537435086,1.8316123626101892,-16.524256876289325,-12.681075176009157
Arkansas,51.771898653361724,48.788045320283274,48.7406051802977,46.0342848433535,5.763461280523654,5.855094272976201,11.082486752947517
California,15.945389798710192,15.094895244219105,15.182036684891473,14.42006411569104,5.333795944956346,4.787296663518789,9.565935372382889
Colorado,27.395527158752866,26.5405940920827,27.80001233610632,26.914850609511436,3.1207031049848446,-1.4764642965602541,1.7545803972158787
Connecticut,6.376474772941231,6.235575233677349,6.42518694825271,6.232599174018968,2.209677671145085,-0.7639358273350477,2.2563501628329794
Delaware,10.125740607701923,9.917991645595219,10.128990928840606,9.852017566994569,2.0516915271233045,-0.03209958920151372,2.703239706724789
District of Columbia,1.5365658244437193,1.6014777022970537,2.6277849832502387,2.6196783902682745,-4.224477521282524,-71.01675316783594,-70.4891745341709
Florida,19.97030807254088,19.05674503223171,19.328936227991957,18.4323101511696,4.574606645980177,3.2116271928263793,7.701423111674602
Georgia,49.68656592644702,46.74889795607447,44.214838758482095,41.81906152023634,5.912398886091847,11.012488116133715,15.834268799854783
Hawaii,192.24222041255166,185.24076258133297,191.35026348085208,184.40727513399813,3.6419980044932707,0.4639755667539851,4.075559084648392
Idaho,21.35145014604011,20.70570502723029,20.848325585299516,20.131832050083123,3.0243618789030204,2.356395267297128,5.712108955668203
Illinois,26.953921698758787,25.233053589331476,24.44674126614204,23.08132661408074,6.384481370317833,9.30172781770825,14.367464326559862
Indiana,29.369301107976867,28.006870785516053,28.259915611619455,26.909000727562084,4.638960653002293,3.7773643038992724,8.377115857709502
Iowa,23.98504608329855,22.75025414196582,23.45333564920972,22.377227252505822,5.148174145858949,2.2168414112786463,6.70342189549636
Kansas,37.93027364124488,35.34043553738448,37.34255740922974,35.11789558268195,6.827891958691923,1.5494647826006323,7.414599971419096
Kentucky,52.87193364916673,49.95665642825844,50.67367810857346,47.959308935609414,5.513846420395166,4.157698402293843,9.2915548467646
Louisiana,31.743351322458867,30.142177779029346,30.52235097934345,29.017367670974114,5.04412255393043,3.846475851626738,8.587573579718665
Maine,15.302170517343178,14.69580430642086,15.49127750557247,14.912212291720584,3.962615697133133,-1.235818069174964,2.5483850489093913
