Feature,MeanAbsSHAP
log1p_claims_per_1k,737.9095214640042
claims_per_1k,697.7841517539025
cost_per_claim,287.29214221359257
opioid_prscrbng_rate,125.11693040852084
pct_severe_housing_problems,38.66340291352091
population,34.15643891256848
pct_unemployed,32.94629174439278
pct_children_in_poverty,30.809233258048316
injury_death_rate,27.623660052976575
pct_adults_reporting_currently_smoking,17.396363105888984
pct_excessive_drinking,14.70543395143329
primary_care_physicians_rate,8.500371591572367
income_ratio,5.881276381390331
tot_clms,2.6724138869277714
mental_health_provider_rate,2.4606744928875566
pct_uninsured,2.039426121348006
pct_adults_with_obesity,1.9509833518606854
