fips,state,county,actual_cost_per_capita,baseline_pred,pbm_formulary,pbm_cost,pbm_util,pbm_triple,sdoh_mh,sdoh_pc,sdoh_smoking,sdoh_obesity,sdoh_integrated,integrated_pbm_sdoh,pbm_formulary_pct_change,pbm_cost_pct_change,pbm_util_pct_change,pbm_triple_pct_change,sdoh_mh_pct_change,sdoh_pc_pct_change,sdoh_smoking_pct_change,sdoh_obesity_pct_change,sdoh_integrated_pct_change,integrated_pbm_sdoh_pct_change,year,predicted_savings_integrated_$
49009,Utah,Daggett,4431.0274340599435,3853.700390311149,3869.5043648162364,3853.700390311149,3823.422939773936,3839.2269142790233,3853.700390311149,3853.700390311149,3853.700390311149,3762.960163989414,3762.960163989414,3748.885024040499,0.41009868190119825,0.0,-0.7856721454873788,-0.37557346358618066,0.0,0.0,0.0,-2.3546258694596807,-2.3546258694596807,-2.7198628760599406,2023,104.81536627064997
48033,Texas,Borden,2528.3703221098467,2627.5708384526997,2627.5708384526997,2627.5708384526997,2578.58830102777,2578.58830102777,2627.5708384526997,2627.5708384526997,2634.6961781795876,2580.0583345476048,2587.183674274493,2540.9423466912003,0.0,0.0,-1.8641757134804513,-1.8641757134804513,0.0,0.0,0.2711759326376066,-1.8082292286769965,-1.5370532960393728,-3.2969041402709585,2023,86.62849176149939
31015,Nebraska,Boyd,2339.761727453167,2574.7425489630064,2489.886898493048,2574.7425489630064,2462.2170717104173,2382.1516878301177,2574.7425489630064,2484.5763286263414,2418.264278831139,2383.695573293614,2168.1295441306775,2030.4291790662348,-3.29569457358501,0.0,-4.370358399441118,-7.4800046012544374,0.0,-3.5019509182764703,-6.077433652342827,-7.420041889094417,-15.792375241404033,-21.140496944674997,2023,544.3133698967715
15005,Hawaii,Kalawao,985.6079998817272,2388.8115608251724,2388.8115608251724,2388.8115608251724,2388.8115608251724,2388.8115608251724,2388.8115608251724,2388.8115608251724,2382.8673582611054,2388.8115608251724,2382.8673582611054,2382.8673582611054,0.0,0.0,0.0,0.0,0.0,0.0,-0.2488351388425803,0.0,-0.2488351388425803,-0.2488351388425803,2023,5.944202564066927
30033,Montana,Garfield,1850.9882762233708,2166.077164222293,2157.857555479884,2166.077164222293,2008.3910044846155,2007.885547079334,2155.7234425298648,2166.077164222293,2125.4742428632594,2156.9009735781415,2098.8377605821697,1936.6511303507948,-0.37946980274639475,0.0,-7.279803431854799,-7.303138584158248,-0.47799412982342543,0.0,-1.8744909936581917,-0.42363175217011206,-3.1042016762253675,-10.591775660673253,2023,229.42603387149825
